program,routeOrSite,stationOrPoint,latitude,longitude,region,basin,percWetlandAndOpenwater250m,percWetland2500m,percUrban2500m,percAg2500m
cwmp,cwmp1,p1,43.31209699999996,-78.840043,southern,ontario,36.77685950413223,3.7122445288478927,10.906131307650568,33.42828721287756
cwmp,cwmp10,p1,43.37110499999992,-78.26470900000001,southern,ontario,32.5,3.3873010130246017,5.3862156295224315,29.364146164978294
cwmp,cwmp108,p1,43.51164399999998,-76.323752,southern,ontario,49.18699186991871,7.646420824295011,2.09237165582068,19.762292118582792
cwmp,cwmp11,p1,43.35327899999992,-78.19271400000001,southern,ontario,26.141078838174273,3.9797395079594793,11.835202604920406,64.18686685962372
cwmp,cwmp112,p1,43.52334799999994,-76.255702,southern,ontario,64.11290322580645,10.356981473113422,3.090826931766833,14.893809308630818
cwmp,cwmp112,p2,43.52191399999993,-76.256309,southern,ontario,47.91666666666667,11.142275503279802,3.1531327753901834,16.023524089572494
cwmp,cwmp113,p1,43.52484,-76.24165,southern,ontario,48.27586206896551,8.882249083254107,4.1513875684729955,21.449590293811397
cwmp,cwmp116,p1,43.536422000000016,-76.223863,southern,ontario,80.60344827586206,8.187293393107822,5.397817325544537,18.634243535751484
cwmp,cwmp116,p2,43.53424599999997,-76.226221,southern,ontario,80.64516129032258,7.808052053680358,5.485518051601825,19.5382043287696
cwmp,cwmp117,p1,43.55135200000002,-76.212359,southern,ontario,61.29032258064516,7.796257796257796,5.852842809364549,6.833589442285095
cwmp,cwmp118,p1,43.567217000000035,-76.203181,southern,ontario,65.46184738955823,15.110548446896052,4.168738979065877,9.069946195234435
cwmp,cwmp119,p1,43.62954000000004,-76.195841,southern,ontario,67.33870967741936,7.162546884179131,1.3602060644403273,3.3937367255637403
cwmp,cwmp120,p1,43.59834899999998,-76.198393,southern,ontario,71.90082644628099,25.858247772400375,2.614319960197205,4.23357003935049
cwmp,cwmp122,p1,43.68242499999996,-76.199567,southern,ontario,75.70850202429149,9.680480860487187,1.9388077913860897,4.989379491119447
cwmp,cwmp123,p1,43.63551600000001,-76.16579,southern,ontario,39.7489539748954,9.45077813970322,2.528954035468693,17.22312703583062
cwmp,cwmp123,p2,43.63556399999998,-76.165844,southern,ontario,40.663900414937764,9.445223131527783,2.5274675588913507,17.17231089207397
cwmp,cwmp124,p1,43.65388285999996,-76.15717585,southern,ontario,61.1336032388664,10.229531899512018,4.920477137176938,12.863726730525936
cwmp,cwmp125,p1,43.67753599999999,-76.172266,southern,ontario,45.86776859504133,14.0124796527401,5.095858202206547,12.393742087176705
cwmp,cwmp126,p1,43.69019600000004,-76.201012,southern,ontario,82.44897959183673,12.280860292788722,1.8163744803903852,5.458160130128322
cwmp,cwmp1266,p1,45.79292000000002,-85.374077,northern,michigan,100,0,0,0
cwmp,cwmp1267,p1,45.79406000000009,-85.37611,northern,michigan,100,0,0,0
cwmp,cwmp1267,p2,45.796202999999984,-85.368902,northern,michigan,100,0,0,0
cwmp,cwmp1273,p1,45.79959200000007,-85.460221,northern,michigan,74.68879668049793,31.14524508696634,0.2529929975152474,0
cwmp,cwmp1275,p1M,44.618890999999934,-86.218711,northern,michigan,57.08333333333334,16.338716243723706,18.252137332066766,8.707649160899262
cwmp,cwmp1275,p2,44.61474899999998,-86.21531800000001,northern,michigan,100,18.909879779444996,14.919099701708399,10.431166952906084
cwmp,cwmp1276,p1,44.487375000000014,-86.214597,northern,michigan,58.70445344129554,20.536481657393583,9.965169403356402,17.75003392590582
cwmp,cwmp1276,p2,44.48823299999999,-86.223369,northern,michigan,100,20.22253380976073,9.430548645348049,13.532950382197296
cwmp,cwmp1279,p1,44.295867999999935,-86.283572,northern,michigan,64.73029045643153,14.56872766746574,9.16821204034556,19.630014926048215
cwmp,cwmp1280,p1,44.29511499999999,-86.308047,northern,michigan,66.25514403292182,5.811849841700588,5.766621438263229,6.16010854816825
cwmp,cwmp1281,p1,44.26390000000002,-86.2948,northern,michigan,75.30364372469637,26.92516268980477,25.230477223427332,6.774222704266088
cwmp,cwmp1281,p1M,44.25216499999999,-86.29801500000002,northern,michigan,91.0204081632653,22.45414294750158,39.473208638294025,3.2167705791994217
cwmp,cwmp1281,p2,44.26149900000001,-86.290633,northern,michigan,86.72199170124482,30.847503617945005,25.153762662807527,6.3811505065123
cwmp,cwmp1281,p3,44.260876999999965,-86.286144,northern,michigan,100,35.15946618412124,22.999321420493104,4.5510065596019
cwmp,cwmp1281,p4,44.25244099999996,-86.29644,northern,michigan,87.91666666666667,23.90842043346455,37.39649789602281,3.1491787701913942
cwmp,cwmp1282,p1,44.204309000000016,-86.270735,northern,michigan,43.53448275862068,9.07486195347153,14.71440210011768,5.893002625147098
cwmp,cwmp1282,p2,44.206271999999984,-86.273429,southern,michigan,84.7107438016529,8.637843704775687,16.873191027496382,5.946997105643994
cwmp,cwmp1282,p3,44.208503999999955,-86.275217,southern,michigan,64.89795918367348,8.364589452754304,18.97058158976908,5.833973518911836
cwmp,cwmp1297,p1,43.92707,-86.4174,southern,michigan,56.84647302904565,19.071092619392182,30.41787264833574,16.868668596237338
cwmp,cwmp1297,p1M,43.92758599999997,-86.416872,southern,michigan,68.42105263157895,19.293171238758077,30.718127174944637,16.807520224160527
cwmp,cwmp1297,p2,43.935643000000006,-86.416172,southern,michigan,33.87096774193549,18.971438900939987,40.464569775849604,10.16359363702097
cwmp,cwmp1297,p3,43.92670100000003,-86.41332,southern,michigan,99.13793103448276,20.112288327447253,28.375441456126055,18.80376709227565
